Distinct y {np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7)}
Sample X (1, 54)
Sample y [2 2 2]
Loss in batch 291 is 1.0890010595321655
Loss in batch 292 is 1.034996509552002
Loss in batch 293 is 0.9809419512748718
Loss in batch 294 is 0.8940470814704895
Loss in batch 295 is 1.0862843990325928
Loss in batch 296 is 1.1598033905029297
Loss in batch 297 is 1.0756819248199463
Loss in batch 298 is 0.9056165218353271
Loss in batch 299 is 1.1829525232315063
Loss in batch 300 is 0.9184107780456543
Loss in batch 301 is 1.0985840559005737
Loss in batch 302 is 0.9170427918434143
Loss in batch 303 is 0.8392705321311951
Loss in batch 304 is 1.084183692932129
Loss in batch 305 is 1.0277230739593506
Loss in batch 306 is 1.1200065612792969
Loss in batch 307 is 1.577810287475586
Loss in batch 308 is 1.1664725542068481
Loss in batch 309 is 1.1166088581085205
Loss in batch 310 is 0.8536783456802368
Loss in batch 311 is 1.0383998155593872
Loss in batch 312 is 0.861190915107727
Loss in batch 313 is 1.1096534729003906
Loss in batch 314 is 1.166817307472229
Loss in batch 315 is 0.9957479238510132
Loss in batch 316 is 1.2186617851257324
Loss in batch 317 is 1.0181446075439453
Loss in batch 318 is 1.071110725402832
Loss in batch 319 is 1.040317416191101
Loss in batch 320 is 1.1015421152114868
Loss in batch 321 is 1.2720813751220703
Loss in batch 322 is 1.0529998540878296
Loss in batch 323 is 1.2376220226287842
Loss in batch 324 is 0.8676028251647949
Loss in batch 325 is 1.1539980173110962
Loss in batch 326 is 1.1289258003234863
Loss in batch 327 is 1.0068080425262451
Loss in batch 328 is 1.2070139646530151
Loss in batch 329 is 1.1009396314620972
Loss in batch 330 is 0.8371737003326416
Loss in batch 331 is 0.9252167344093323
Loss in batch 332 is 1.0715410709381104
Loss in batch 333 is 1.5462976694107056
Loss in batch 334 is 1.1403241157531738
Loss in batch 335 is 0.9865935444831848
Loss in batch 336 is 1.4138036966323853
Loss in batch 337 is 1.1678030490875244
Loss in batch 338 is 1.1020877361297607
Loss in batch 339 is 1.1970995664596558
Loss in batch 340 is 1.0330162048339844
Loss in batch 341 is 1.1040550470352173
Loss in batch 342 is 1.1729384660720825
Loss in batch 343 is 0.6998652219772339
Loss in batch 344 is 1.0910159349441528
Loss in batch 345 is 1.1353791952133179
Loss in batch 346 is 1.4810078144073486
Loss in batch 347 is 0.9195024967193604
Loss in batch 348 is 1.43699312210083
Loss in batch 349 is 1.3458083868026733
